,title,text,tags,target,target_numerical
10, Нардепи від “ЄС” ініціювали розслідування мільйонних зловживань мерії Львова під час ремонту вулиці Бандери - ДОКУМЕНТ ,"Звернення оприлюднив народний депутат України, кандидат на посаду львівського міського голови Олег Синютка під час прес-конференції, яка відбулася 21 жовтня у прес-клубі “Львів”. “Сам факт того, що міська влада Львова нарешті взялася вирішувати проблемні питання інфраструктури міста не можна не відмітити», - йдеться у зверненні, - «проте прикро, що такі дії вживаються в останні місяці роботи напередодні місцевих виборів без врахування інтересів мешканців міста та їхньої думки. Очевидно, що в таких умовах навряд чи це можна вважати справжньою турботою про місто та його мешканців, а не Вашим передвиборчим піаром як чинного очільника міста”. Звернення підписали народні депутати від “ЄС” Олег Синютка, Руслан Князевич, Артур Герасимов, Степан Кубів, Микола Княжицький, Максим Саврасов, Ніна Южаніна, Марія Іонова, Вікторія Сюмар, Ірина Геращенко, Ірина Фріз, Олексій Гончаренко. Олег Синютка звернув увагу на переписування кошторисів, відтермінування початку ремонтних робіт та ймовірність масштабних зловживань, які можуть дорівнювати майже 100 мільйонам гривень. Він нагадав, що відкритий тендер на розробку проектно-кошторисної документації із реконструкції вулиці Бандери оголошено 12 лютого 2019 року. “У бюджеті міста на 2020 рік на ремонт вулиці Бандери передбачено 112 мільйонів гривень, тобто 3.3 мільйона євро (за курсом на кінець минулого року). На цій основі, 26 грудня 2019 року, мер Садовий заявив, що міська влада планує ремонт вулиці Бандери – «орієнтовно у квітні і завершити їх до кінця вересня». Але міська влада два рази збрехала: перший про терміни і другий про вартість ремонтних робіт. У початковий договір на розробку проектно-кошторисної документації чотири рази вносилися зміни”, - сказав народний депутат. Він вважає витрати дуже великими у порівнянні з іншими інвестиціями. Підрядник має відремонтувати 1 км 50 мвулиці за понад 209 млн гривень(за сьогоднішнім курсом – 6 мільйонів 400 тисяч євро). “У 2011 році в рамках співпраці міста з ЄБРР реконструювали вул. Коновальця – Мельника –Чупринки, які є суміжними з вулицею Бандери. Було виконано весь комплекс робіт, разом із заміною інженерних комунікацій, заміною трамвайних шляхів, дорожнього покриття, ремонтом тротуарів. Відремонтовано відрізок 1400 метрів, вартість робіт склала 4.5 мільйона євро, отже за один кілометр – 3.2 мільйона євро (за тодішнім курсом)”, - нагадав народний депутат. Синютка зауважив, що ця сума була удвічі меншою від тої, яка сьогодні має бути витрачена ремонт вулиці Бандери. “Це ілюстрація одної з ключових проблем способу управління містом Андрієм Садовим і його групою. Непрозорі методи, корупція та зловживання, які прикриваються піаром. Але для того, щоб Львів міг розвиватися, ми маємо викорінити корупцію з управління містом. На Львів треба працювати, а не красти!”, - зауважив народний депутат. Синютка також додав, що справа реконструкції вулиці Бандери промовисто показує, що “Самопоміч” у Львові, це не політична партія, яка дбає про інтерес міста та його мешканців. Насправді “Самопоміч” – це бізнесова група згуртована довкола Садового. Зайнята винятково власними інтересами, піклуванням про добробут «своїх» та реалізацією корупційних схем.",|Львів|Новини|Олег Синютка|Європейська солідарність|,політика,3
11,Facebook запустила сервіс для знайомств в Європі,"Американська корпорація Facebook запустила в 32 країнах Європи сервіс для знайомств під назвою Dating.Читайте такожFacebook видалятиме інформацію, яка заперечує ГолокостПлатформа стала доступна у Великобританії, Франції, Німеччині, Італії, Іспанії, країнах Балтії. У Dating, крім профілів користувачів, є ""історії"", функція ""секретного лайка"", групи і події, а також віртуальні побачення через відеочат.Facebook збиралася запустити платформу в Європі ще на початку цього року, проте цього не сталося через те, що компанія вчасно не повідомила про свої наміри європейських регуляторів і не надала їм ніякої документації.Dating почав працювати в США в 2019 році і з тих пір з'явився ще в 19 країнах, включаючи Аргентину, Бразилію, Канаду, Малайзію, В'єтнам та інші. Сервіс з моменту роботи зумів створити понад 1,5 млрд віртуальних пар, передає kommersant.Facebook буде маркувати контрольовані державою ЗМІFacebook зізнався, що передавав персональні дані ""неактивних"" користувачівFacebook ввів обмеження на пересилання повідомленьFacebook показав прототип AR-окулярів (фото)Facebook звинувачують Instagram у стеженні за користувачами через камеру смартфона",Facebook,технології,4
12,Для повідомлень. Huawei запатентувала незвичайне рішення для камери під екраном ," Інженери Huawei працюють над створенням дисплея з прихованою камерою, на яку будуть виводити різні повідомлення.  Таким чином, на відміну від конкурентів, Huawei вирішила залишити підекранну камеру видною погляду користувача, пише GSMArena. Компанія Oppo вже продемонструвала свою технологію підекранної камери для селфі на MWC виставці Shanghai, і ми знаємо, що у Vivo і Xiaomi також є прототипи. Схоже, що інший китайський виробник планує приєднатися до тренду. Схоже, що у Huawei є як мінімум півдюжини рішень для цієї області екрану. Одне із зображень показує, що на цій ділянці дисплея можна показувати час, коли ви розмовляєте по телефону. Також може з’явитися інформація про набір номера, коли ви виходите з програми Caller. Інша цікава річ, яку показують патентні файли, — це фактичний стан камери для селфі. У той час як Oppo помістив її в центр верхньої сторони, Huawei планує розмістити камеру в верхньому лівому кутку, де знаходиться поточний виріз для Honor View 20 і Huawei nova 5i. Поки не ясно, чи є у цього китайського виробника працюючий продукт або він просто захищає одну ідею від крадіжки іншими, як це зазвичай відбувається з патентами. Раніше НВ повідомляло, що компанії Oppo і Xiaomi показали прототипи смартфонів, в яких фронтальна камера розташована за екраном. Така конструкція дозволяє відмовитися від висувного механізму для камери. Віце-президент Oppo Брайан Шен поділився коротким відеокліпом про те, як виглядає прототип смартфона без виїмок, що лежить на столі.",Дисплей|Huawei|Камера,технології,4
13, Мер Ніцци відвідав анексований Крим ,"Про це повідомляє Еспресо.TV з посиланням на персональний сайт Крістіана Естрозі. Мер Ніцци разом з послом РФ у Франції Олександром Орловим перебував з візитом в окупованому Криму з 26 лютого по 1 березня. На сайті мера Ніцци назвали візит делегації дуже ""символічним"", оскільки він був здійснений вперше з часу ""проведення референдуму про незалежність і приєднання до Росії"". На сайті мера наголошується також, що Ялта входить до складу Росії. ""Продовжуючи підписання угоди про побратимські відносини між Ялтою і Ніццою 26 листопада 1960 року, мер Ялти Андрій Постенко у присутності посла РФ у Франції зустрівся з мером Ніцци для підписання листа про наміри з розвитку дружніх відносин і поновлення побратимських відносин між Ялтою і Ніццою"", - йдеться у повідомленні на сайті Естрозі. З боку Крістіана Естрозі це вже не перший прояв дружніх почуттів до Росії. ",|анексія Криму|візит|мер|Новини|Ялта|,політика,3
14,Брондбю – Брага – 2:4. Відео голів та огляд матчу,Футболісти португальської «Браги» вирвали перемогу в першому матчі 3-го кваліфікаційного раунду Ліги Європи з данським «Брондбю».,Футбол|Ліга Європи|Брондбю|Брага,спорт,1
15,Курс валют НБУ. Долар і євро дорожчають ,"Курс долара зріс на 20 коп.Курс євро встановлено на рівні 34,62 грн/€. Він зріс на 5 коп.",Курс валют|Курс рубля|Курс долара до гривні|Курс гривні до долара|Курс долара|Курс євро|Курс гривні,бізнес,0
16,Де і коли дивитися гонки чемпіонату Європи-2020 з біатлону,"У середу 26-го лютого, в білоруських Раубічах стартує чемпіонат Європи-2020 з біатлону. Біатлоністи розіграють медалі в п'яти дисциплінах. На чемпіонаті Європи відбудуться суперспринтерські гонки, одиночна і класична змішані естафети, спринти і персьют. 28-го лютого, на екваторі змагань, біатлоністи отримають день відпочинку. Розклад чемпіонату Європи-2020 (час київський): 26.02.2020 - 12:00 - суперспринт, чоловіки (кваліфікація) 26.02.2020 - 14:00 - суперспринт, жінки (кваліфікація) 26.02.2020 - 16:30 - суперспринт, чоловіки (фінал) 26.02.2020 - 17:00 - суперспринт, жінки (фінал) 27.02.2020 - 13.00 - Одиночна змішана естафета 27.02.2020 - 16:00 - Змішана естафета 29.02.2020 - 11:30 - Спринт, чоловіки 29.02.2020 - 14:30 - Спринт, жінки 01.03.2020 - 11:30 - Гонка переслідування, чоловіки 01.03.2020 - 13:30 - Гонка переслідування, жінки Варто відзначити, що суперспринт включений в програму чемпіонату Європи вперше, замінивши класику біатлону - індивідуальні гонки. Раніше ця дисципліна проводилася на етапах Кубка IBU, а також на літньому чемпіонаті світу-2019. Українські вболівальники зможуть на власні очі побачити змагання на телеканалі «UA:Перший». Sport.ua проведе текстові трансляції всіх гонок. Біатлонний сезон-2019/20: розклад, анонси, трансляції, результати",Біатлон|Чемпіонат Європи|де дивитися|Чє-2020 з біатлону,спорт,1
17,США почали виведення військ з Афганістану ,"Як повідомляє CNN, факт виведення американських військ підтвердив представник командування військ США в Афганістані (USFOR-A) Сонні Леггетт. ""Збройні сили США в Афганістані (USFOR-A) почали скорочення чисельності своїх військових до 8600 протягом 135 днів"", - заявив він. На даний момент в Афганістані розміщено до 13 тисяч американських військових. У заяві вказується, що американські військові продовжать проведення контртерористичних операцій проти Аль-Каїди і Ісламської держави, а також будуть підтримувати афганські сили безпеки. Нагадаємо, що 29 лютого США і представники Талібану підписали угоду, в якій передбачається скорочення американського контингенту в Афганістані до 8600 військовослужбовців за 135 днів. Якщо таліби виконають умови угоди, то решта американських військових будуть виведені протягом 14 місяців.",|США|виведення військ|Талібан|американські війська|Новини|Афганістан|,політика,3
18,Людиною і не пахне. Вчені назвали місце з найчистішим повітрям на Землі ," Кліматологи з Університету Колорадо дослідили, в якому регіоні на поверхні Землі найсвіжіше повітря. Під критерієм «свіжості» вчені розглядали склад атмосфери без частинок речовин, створених діяльністю людини. Поки частина Києва навесні задихалася від густого смогу і пилу, вчені з Університету штату Колорадо з’ясовували, в якому місці на Землі найсвіжіше повітря. Згідно з результатами їхнього дослідження, які опублікували кілька тижнів тому у журналі Національної академії наук США, найчистіша атмосфера на нашій планеті дісталася південним частинам Тихого, Атлантичного і Індійського океанів, які оточують Антарктиду.  Американські кліматологи пропливли від австралійського острова Тасманія до південних частин світового океану поблизу Антарктиди, і вимірювали кількість частинок хімічних речовин, створених діяльністю людини, в різних точках найпівденнішої частини Землі. Вчені виміряли склад нижнього шару атмосфери, який тягнеться приблизно на два кілометри вгору від поверхні океану.  Автори дослідження заявляють, що було складно знайти місце на планеті, в якому не помітна діяльність людини, але саме у водах навколо Антарктиди повітря було чистим і вільним від аерозольних часток, створених людиною. «У річному повітряному бактеріальному складі у морському прикордонному шарі над Південним океаном, розташованим безпосередньо на південь від Австралії, переважають морські бактерії, що викидаються з морських бризів. Ми виявили, що повітряні бактерії були більш поширені на півночі, і набагато менше у напрямку Антарктиди», — резюмували вчені.  Попри виявлення рекордно чистого повітря у Антарктиді, раніше дослідники заявляли, що у вищих шарах атмосфери над цим регіоном розташована найбільша озонова діра на нашій планеті. Озоновою дірою називають значне зниження рівня озону — блакитного отруйного газу, який має різкий запах і при зріджуванні перетворюється на рідину синьо-фіолетового кольору. В атмосфері озон відіграє дуже важливу роль — цей шар захищає поверхню Землі від шкідливого ультрафіолетового випромінювання. Найбільша концентрація природного озону розташована на висоті приблизно 15−30 км над поверхнею Землі. В кінці 2019-го в NASA заявили, що озонова діра над Антарктидою скоротилася до мінімальних розмірів, з того часу як її виявили в 1985-му, і тепер займає площу від від 20 млн до 25 млн квадратних кілометрів. Зниження концентрації озону над Антарктидою пов’язують з холодним повітрям у атмосфері, що призводить до скупчення хмар в одну масу, і дозволяє шкідливим хімічним речовинам від промислових джерел проникати в озоновий шар і знищувати його.  В середині 1980-х майже всі країни у світі підписали Монреальський протокол, який передбачає зниження шкідливих викидів в атмосферу для скорочення озонових дір. Однак, торік вчені з США заявляли, що промислові підприємства в Китаї продовжують викидати в атмосферу шкідливі аерозольні речовини, заборонені Монреальським протоколом. ",Клімат|Антарктика|Атмосфера|Забруднення повітря|Наукові дослідження,технології,4
19,"У цьому році потрібно закачати в сховища більше газу, щоб підготуватися до деструктивних рішень Кремля - Коболєв "," До наступної зими Нафтогазу потрібно закачати в підземні сховища більше газу, ніж раніше, тому що Росія може вдатися до деструктивних дій після завершення чинного контракту на транзит.  ""Дія існуючих контрактів з Газпромом завершиться 1 січня і Україна має підготуватися до будь-яких деструктивних рішень Кремля, зокрема до переривання транзиту. До зими в ПСГ необхідно накопичити близько 20 млрд куб. м. газу – такі обсяги достатні, щоб гарантувати тепло в оселях за будь-якої погоди і політичної обстановки. Це також сигналізуватиме Росії, що Україна готова до будь-якого розвитку подій і ""гра на вентилі"" призведе лише до чергового погіршення репутації Газпрому"", - зазначив Коболєв. Він зазначив, що Нафтогаз вже працює над залученням коштів, необхідних для закупівлі і закачування газу в сховища. Коболєв нагадав, що європейська практика і український закон ""Про ринок газу"" передбачає створення страхових запасів усіма без винятку компаніями-постачальниками газу. ""У минулі роки норма про страховий запас ігнорувалася - зараз саме час повернутися до цього питання. Спільними зусиллями уряд, Нафтогаз і всі учасники газового ринку повинні належним чином підготуватися до наступного опалювального сезону"", - резюмував глава Нафтогазу. Як повідомлялося, Україна з 5 квітня почала закачування природного газу в підземні сховища. Добовий обсяг закачування станом на 5 квітня становив близько 12 млн куб. м. Чинний транзитний контракт України з російським Газпромом було укладено в 2009 році терміном на 10 років. Після його завершення (до 2020 року) російський монополіст планує максимально скоротити транзит свого газу через територію України. Moody's прогнозує, що після завершення контракту, що діє обсяги транзиту впадуть до 40-50 млрд куб. м в рік. ",Газ|Газпром|НАК Нафтогаз України|Андрій Коболєв|Опалювальний сезон,бізнес,0
